date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
04/02/2017,40:52,Erick Torres,Houston,Luis Robles,New York,Goal,Houston,New York,1,1,1,1,0
04/09/2017,87:03,Fanendo Adi,Portland,Andre Blake,Philadelphia,Goal,Philadelphia,Portland,1,2,1,1,0
04/10/2017,93:03,Kevin Doyle,Colorado,Tim Melia,Kansas City,Goal,Kansas City,Colorado,2,0,1,1,0
04/15/2017,49:16,Ignacio Piatti,Montreal,Alec Kann,Atlanta United,Goal,Montreal,Atlanta United,0,1,1,1,0
04/16/2017,84:57,Yura Movsisyan,Salt Lake,Zac MacMath,Colorado,Goal,Colorado,Salt Lake,1,0,1,1,0
04/22/2017,8:59,Erick Torres,Houston,David Bingham,San Jose,Goal,Houston,San Jose,0,0,1,1,0
04/22/2017,38:26,Roland Alberg,Philadelphia,Evan Bush,Montreal,Goal,Philadelphia,Montreal,2,0,1,1,0
04/22/2017,58:36,Fredy Montero,Vancouver,Jeff Attinella,Portland,Saved,Portland,Vancouver,2,0,0,1,1
04/23/2017,37:10,Daniel Royer,New York,Zack Steffen,Columbus,Goal,New York,Columbus,1,0,1,1,0
05/06/2017,22:32,Jozy Altidore,Toronto,Stefan Frei,Seattle,Goal,Seattle,Toronto,0,0,1,1,0
05/07/2017,84:11,C.J. Sapong,Philadelphia,Luis Robles,New York,Goal,Philadelphia,New York,2,0,1,1,0
05/07/2017,11:27,Mauro Manotas,Houston,Joe Bendik,Orlando City,Miss,Houston,Orlando City,0,0,0,0,0
05/07/2017,2:59,Maximiliano Urruti,FC Dallas,Matt Van Oekel,Salt Lake,Goal,Salt Lake,FC Dallas,4,0,1,1,0
05/07/2017,12:04,David Accam,Chicago,Brian Rowe,L.A. Galaxy,Goal,L.A. Galaxy,Chicago,0,0,1,1,0
05/11/2017,27:45,Federico Higuain,Columbus,Alexander Bono,Toronto,Goal,Columbus,Toronto,0,0,1,1,0
05/11/2017,37:56,Jozy Altidore,Toronto,Zack Steffen,Columbus,Saved,Columbus,Toronto,1,0,0,1,1
05/13/2017,19:18,Sebastian Giovinco,Toronto,Bobby Shuttleworth,Minnesota United,Goal,Toronto,Minnesota United,0,0,1,1,0
05/13/2017,61:43,Kevin Molino,Minnesota United,Alexander Bono,Toronto,Saved,Toronto,Minnesota United,0,3,0,1,1
05/13/2017,67:07,Erick Torres,Houston,David Ousted,Vancouver,Goal,Houston,Vancouver,1,0,1,1,0
05/14/2017,24:27,Nemanja Nikolic,Chicago,Stefan Frei,Seattle,Goal,Chicago,Seattle,0,0,1,1,0
05/14/2017,77:46,Giovani dos Santos,L.A. Galaxy,Luis Robles,New York,Goal,New York,L.A. Galaxy,0,2,1,1,0
05/20/2017,80:54,Jozy Altidore,Toronto,Luis Robles,New York,Saved,New York,Toronto,1,1,0,1,1
05/20/2017,54:24,Clint Dempsey,Seattle,Nick Rimando,Salt Lake,Saved,Seattle,Salt Lake,1,0,0,1,1
05/20/2017,12:31,Ignacio Piatti,Montreal,Jake Gleeson,Portland,Goal,Montreal,Portland,0,0,1,1,0
05/21/2017,79:02,Miguel Almiron,Atlanta United,Joe Willis,Houston,Goal,Atlanta United,Houston,3,0,1,1,0
05/21/2017,89:22,Erick Torres,Houston,Alec Kann,Atlanta United,Goal,Atlanta United,Houston,4,0,1,1,0
05/21/2017,66:11,C.J. Sapong,Philadelphia,Tim Howard,Colorado,Goal,Philadelphia,Colorado,0,1,1,1,0
05/21/2017,52:15,Fredy Montero,Vancouver,Tim Melia,Kansas City,Saved,Vancouver,Kansas City,1,0,0,1,1
05/22/2017,13:32,David Villa,New York City FC,Joe Bendik,Orlando City,Goal,Orlando City,New York City FC,0,0,1,1,0
05/22/2017,63:10,Cyle Larin,Orlando City,Sean Johnson,New York City FC,Post,Orlando City,New York City FC,0,2,0,0,0
05/26/2017,92:52,Nemanja Nikolic,Chicago,Chris Seitz,FC Dallas,Saved,Chicago,FC Dallas,2,1,0,1,1
05/27/2017,5:37,Victor Vazquez,Toronto,Zack Steffen,Columbus,Goal,Toronto,Columbus,0,0,1,1,0
05/28/2017,8:52,Lee Nguyen,New England,Luis Robles,New York,Goal,New York,New England,0,0,1,1,0
05/28/2017,34:24,Giovani dos Santos,L.A. Galaxy,David Bingham,San Jose,Goal,San Jose,L.A. Galaxy,1,1,1,1,0
05/28/2017,60:15,Lamar Neagle,DC United,David Ousted,Vancouver,Goal,Vancouver,DC United,0,0,1,1,0
05/28/2017,95:38,Cristian Techera,Vancouver,Bill Hamid,DC United,Post,Vancouver,DC United,0,1,0,0,0
06/10/2017,69:11,Nemanja Nikolic,Chicago,Alec Kann,Atlanta United,Goal,Chicago,Atlanta United,1,0,1,1,0
06/17/2017,51:37,David Villa,New York City FC,Stefan Frei,Seattle,Goal,New York City FC,Seattle,0,1,1,1,0
06/22/2017,36:41,Diego Valeri,Portland,Bobby Shuttleworth,Minnesota United,Goal,Minnesota United,Portland,-1,2,1,1,0
06/22/2017,70:22,Romain Alessandrini,L.A. Galaxy,Tim Howard,Colorado,Goal,Colorado,L.A. Galaxy,1,2,1,1,0
06/25/2017,69:44,Lamar Neagle,DC United,Andre Blake,Philadelphia,Saved,Philadelphia,DC United,1,0,0,1,1
06/25/2017,16:44,Cristian Techera,Vancouver,Bobby Shuttleworth,Minnesota United,Goal,Minnesota United,Vancouver,0,0,1,1,0
06/25/2017,62:08,David Accam,Chicago,Joe Bendik,Orlando City,Goal,Chicago,Orlando City,3,0,1,1,0
06/26/2017,44:44,Fanendo Adi,Portland,Stefan Frei,Seattle,Goal,Portland,Seattle,0,1,1,1,0
07/02/2017,73:37,Diego Valeri,Portland,Tim Melia,Kansas City,Saved,Kansas City,Portland,1,1,0,1,1
07/02/2017,3:01,C.J. Sapong,Philadelphia,Cody Cropper,New England,Goal,Philadelphia,New England,0,0,1,1,0
07/06/2017,39:46,David Villa,New York City FC,David Ousted,Vancouver,Goal,Vancouver,New York City FC,1,1,1,1,0
