date,time,shooter,team,keeper,opposition,result,home_team,away_team,home_score,away_score,goal,on_target,save
41832,97.12,Marcelo Sarvas,LA,Nick Rimando,RSL,Saved,LA,RSL,1,0,0,1,1
41832,85,Chris Tierney,NE,Sean Johnson,CHI,Saved,NE,CHI,0,1,0,1,1
41832,78.22,Dillon Powers,COL,Zac MacMath,PHI,Goal,PHI,COL,3,1,1,1,0
41836,37.17,Lee Nguyen,NE,Jaime Penedo,LA,Goal,LA,NE,2,0,1,1,0
41836,68.1,Sebastien Le Toux,PHI,Luis Robles,NYRB,Goal,PHI,NYRB,2,1,1,1,0
41836,63.09,Jermain Defoe,TOR,David Ousted,VAN,Goal,TOR,VAN,0,1,1,1,0
41839,90.03,Sebastien Le Toux,PHI,Sean Johnson,CHI,Goal,CHI,PHI,1,0,1,1,0
41839,28.03,Michael Bradley,TOR,Tally Hall,HOU,Post,HOU,TOR,2,1,0,0,0
41839,32.55,Bradley Wright-Phillips,NYRB,Jon Busch,SJ,Goal,NYRB,SJ,0,0,1,1,0
41839,72.16,Darren Mattocks,VAN,Nick Rimando,RSL,Goal,RSL,VAN,0,0,1,1,0
41840,24.56,Eddie Johnson,DCU,Dan Kennedy,CHV,Goal,DCU,CHV,0,0,1,1,0
41840,83.14,Erick Torres,CHV,Bill Hamid,DCU,Goal,DCU,CHV,3,0,1,1,0
41847,39.34,Will Johnson,POR,Evan Bush,MTL,Goal,MTL,POR,1,1,1,1,0
41847,38.48,Michel Garbini Pereira,FCD,David Ousted,VAN,Goal,VAN,FCD,1,1,1,1,0
41847,52.12,Pedro Morales,VAN,Raul Fernandez,FCD,Goal,VAN,FCD,1,2,1,1,0
41853,36.33,Mike Magee,CHI,Steve Clark,CLB,Goal,CHI,CLB,0,0,1,1,0
41853,84.32,Robbie Keane,LA,Donovan Ricketts,POR,Goal,LA,POR,2,1,1,1,0
41860,46.4,Federico Higuain,CLB,Joe Bendik,TOR,Goal,CLB,TOR,0,1,1,1,0
41860,10.48,Michel Garbini Pereira,FCD,Clinton Irwin,COL,Goal,FCD,COL,1,0,1,1,0
41860,85.31,Gabriel Torres,COL,Raul Fernandez,FCD,Goal,FCD,COL,3,0,1,1,0
41861,37.22,Mike Magee,CHI,Luis Robles,NYRB,Saved,CHI,NYRB,0,0,0,1,1
41861,25.21,Brad Davis,HOU,Stefan Frei,SEA,Saved,SEA,HOU,0,0,0,1,1
41861,74.39,Gonzalo Pineda,SEA,Tally Hall,HOU,Goal,SEA,HOU,1,0,1,1,0
41861,84.27,Darren Mattocks,VAN,Jon Kempin,SKC,Saved,VAN,SKC,2,0,0,1,1
41867,48.06,Chris Wondolowski,SJ,Raul Fernandez,FCD,Miss,SJ,FCD,0,2,0,0,0
41867,17.1,Dominic Dwyer,SKC,Joe Bendik,TOR,Goal,SKC,TOR,0,0,1,1,0
41867,32.35,Dominic Dwyer,SKC,Joe Bendik,TOR,Goal,SKC,TOR,1,0,1,1,0
41878,74.17,Landon Donovan,LA,Bill Hamid,DCU,Goal,LA,DCU,3,1,1,1,0
41881,35.13,Javier Morales,RSL,Jon Busch,SJ,Goal,SJ,RSL,1,0,1,1,0
41885,59.03,Ryan Finley,CHV,Stefan Frei,SEA,Goal,CHV,SEA,1,4,1,1,0
41887,4.24,Landon Donovan,LA,Clinton Irwin,COL,Goal,LA,COL,0,0,1,1,0
41887,46.48,Landon Donovan,LA,Clinton Irwin,COL,Goal,LA,COL,3,0,1,1,0
41888,10.51,Bradley Wright-Phillips,NYRB,Andy Gruenebaum,SKC,Goal,NYRB,SKC,0,0,1,1,0
41889,45.21,Federico Higuain,CLB,Dan Kennedy,CHV,Post,CLB,CHV,0,0,0,0,0
41892,38.35,Pedro Morales,VAN,Jon Busch,SJ,Goal,VAN,SJ,0,0,1,1,0
41895,56.36,Jeff Larentowicz,CHI,Joe Bendik,TOR,Saved,CHI,TOR,1,0,0,1,1
41895,47.55,Dillon Powers,COL,Donovan Ricketts,POR,Goal,COL,POR,0,1,1,1,0
41895,36.1,Peguy Luyindula,NYRB,Zac MacMath,PHI,Goal,PHI,NYRB,0,0,1,1,0
41895,92,Sebastien Le Toux,PHI,Luis Robles,NYRB,Goal,PHI,NYRB,1,2,1,1,0
41896,36.44,Robbie Keane,LA,Jon Busch,SJ,Post,SJ,LA,0,1,0,0,0
41902,31.06,Jeff Larentowicz,CHI,Bill Hamid,DCU,Goal,CHI,DCU,1,0,1,1,0
41902,38.25,Luis Silva,DCU,Sean Johnson,CHI,Goal,CHI,DCU,2,0,1,1,0
41902,84.24,Federico Higuain,CLB,Bobby Shuttleworth,NE,Saved,CLB,NE,1,0,0,1,1
41902,53.4,Bradley Wright-Phillips,NYRB,Stefan Frei,SEA,Goal,NYRB,SEA,1,0,1,1,0
41909,57.04,Federico Higuain,CLB,Evan Bush,MTL,Goal,CLB,MTL,1,0,1,1,0
41909,90.36,Marco Di Vaio,MTL,Steve Clark,CLB,Saved,CLB,MTL,2,0,0,1,1
41909,47.33,Pedro Morales,VAN,Jeff Attinella,RSL,Saved,VAN,RSL,0,0,0,1,1
41909,61.08,Pedro Morales,VAN,Jeff Attinella,RSL,Goal,VAN,RSL,0,1,1,1,0
41917,63.05,Erick Torres,CHV,Nick Rimando,RSL,Saved,CHV,RSL,1,0,0,1,1
41917,10.13,Clint Dempsey,SEA,Clinton Irwin,COL,Goal,COL,SEA,0,0,1,1,0
41920,50.01,Diego Valeri,POR,Jon Busch,SJ,Goal,POR,SJ,1,0,1,1,0
41920,57.49,Jermain Defoe,TOR,Tyler Deric,HOU,Saved,TOR,HOU,0,1,0,1,1
41922,12.16,Dominic Dwyer,SKC,Sean Johnson,CHI,Miss,SKC,CHI,0,0,0,0,0
41924,82.09,Giles Barnes,HOU,Bill Hamid,DCU,Goal,HOU,DCU,0,2,1,1,0
41930,55.42,Blas Perez,FCD,Clinton Irwin,COL,Goal,COL,FCD,0,0,1,1,0
41930,53.28,Dominic Dwyer,SKC,Zac MacMath,PHI,Goal,PHI,SKC,1,0,1,1,0
41934,35.39,Alvaro Saborio,RSL,Dan Kennedy,CHV,Goal,RSL,CHV,0,0,1,1,0
41936,65.11,Jeff Larentowicz,CHI,Tyler Deric,HOU,Goal,CHI,HOU,0,1,1,1,0
